ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Municipios de 20.001 a 30.000 hab.,Varones,Contada aparte (Cumple el servicio militar),19267
Municipios de 20.001 a 30.000 hab.,Mujeres,Total,919391
Municipios de 20.001 a 30.000 hab.,Mujeres,Económicamente activa (Total),194210
Municipios de 20.001 a 30.000 hab.,Mujeres,Económicamente activa (Ocupados),152678
Municipios de 20.001 a 30.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),25111
Municipios de 20.001 a 30.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),16421
Municipios de 20.001 a 30.000 hab.,Mujeres,Económicamente inactiva,725181
Municipios de 20.001 a 30.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Total,2724881
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Económicamente activa (Total),1279211
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Económicamente activa (Ocupados),1081849
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),73690
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),123673
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Económicamente inactiva,1418667
Municipios de 10.001 a 20.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),27003
Municipios de 10.001 a 20.000 hab.,Varones,Total,1330084
Municipios de 10.001 a 20.000 hab.,Varones,Económicamente activa (Total),985642
Municipios de 10.001 a 20.000 hab.,Varones,Económicamente activa (Ocupados),845355
Municipios de 10.001 a 20.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),39469
Municipios de 10.001 a 20.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),100817
Municipios de 10.001 a 20.000 hab.,Varones,Económicamente inactiva,317440
Municipios de 10.001 a 20.000 hab.,Varones,Contada aparte (Cumple el servicio militar),27003
Municipios de 10.001 a 20.000 hab.,Mujeres,Total,1394797
Municipios de 10.001 a 20.000 hab.,Mujeres,Económicamente activa (Total),293569
Municipios de 10.001 a 20.000 hab.,Mujeres,Económicamente activa (Ocupados),236493
Municipios de 10.001 a 20.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),34221
Municipios de 10.001 a 20.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),22855
Municipios de 10.001 a 20.000 hab.,Mujeres,Económicamente inactiva,1101227
Municipios de 10.001 a 20.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Total,2679276
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Económicamente activa (Total),1225833
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Económicamente activa (Ocupados),1046142
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),67316
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),112375
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Económicamente inactiva,1426514
Municipios de 5.001 a 10.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),26929
Municipios de 5.001 a 10.000 hab.,Varones,Total,1309814
Municipios de 5.001 a 10.000 hab.,Varones,Económicamente activa (Total),953597
Municipios de 5.001 a 10.000 hab.,Varones,Económicamente activa (Ocupados),820965
Municipios de 5.001 a 10.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),37726
Municipios de 5.001 a 10.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),94906
Municipios de 5.001 a 10.000 hab.,Varones,Económicamente inactiva,329288
Municipios de 5.001 a 10.000 hab.,Varones,Contada aparte (Cumple el servicio militar),26929
Municipios de 5.001 a 10.000 hab.,Mujeres,Total,1369462
Municipios de 5.001 a 10.000 hab.,Mujeres,Económicamente activa (Total),272236
Municipios de 5.001 a 10.000 hab.,Mujeres,Económicamente activa (Ocupados),225177
Municipios de 5.001 a 10.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),29590
Municipios de 5.001 a 10.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),17469
Municipios de 5.001 a 10.000 hab.,Mujeres,Económicamente inactiva,1097226
Municipios de 5.001 a 10.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Total,1451307
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Económicamente activa (Total),653191
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Económicamente activa (Ocupados),560333
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),34460
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),58398
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Económicamente inactiva,782462
Municipios de 3.001 a 5.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),15653
Municipios de 3.001 a 5.000 hab.,Varones,Total,715403
Municipios de 3.001 a 5.000 hab.,Varones,Económicamente activa (Total),512279
Municipios de 3.001 a 5.000 hab.,Varones,Económicamente activa (Ocupados),444056
Municipios de 3.001 a 5.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),19685
Municipios de 3.001 a 5.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),48538
Municipios de 3.001 a 5.000 hab.,Varones,Económicamente inactiva,187471
Municipios de 3.001 a 5.000 hab.,Varones,Contada aparte (Cumple el servicio militar),15653
Municipios de 3.001 a 5.000 hab.,Mujeres,Total,735903
Municipios de 3.001 a 5.000 hab.,Mujeres,Económicamente activa (Total),140912
Municipios de 3.001 a 5.000 hab.,Mujeres,Económicamente activa (Ocupados),116277
