sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Ambos sexos,Industria,Zona Intermedia,De 55 a 59 años,28811
Ambos sexos,Industria,Zona Intermedia,De 60 a 64 años,11215
Ambos sexos,Industria,Zona Intermedia,De 65 a 69 años,1342
Ambos sexos,Industria,Zona Intermedia,De 70 a 74 años,483
Ambos sexos,Industria,Zona Intermedia,De 75 y más años,434
Ambos sexos,Industria,Zona Urbana,Total,1991585
Ambos sexos,Industria,Zona Urbana,De 16 a 19 años,101580
Ambos sexos,Industria,Zona Urbana,De 20 a 24 años,246302
Ambos sexos,Industria,Zona Urbana,De 25 a 29 años,270758
Ambos sexos,Industria,Zona Urbana,De 30 a 34 años,275193
Ambos sexos,Industria,Zona Urbana,De 35 a 39 años,253310
Ambos sexos,Industria,Zona Urbana,De 40 a 44 años,219057
Ambos sexos,Industria,Zona Urbana,De 45 a 49 años,226617
Ambos sexos,Industria,Zona Urbana,De 50 a 54 años,192912
Ambos sexos,Industria,Zona Urbana,De 55 a 59 años,139212
Ambos sexos,Industria,Zona Urbana,De 60 a 64 años,55992
Ambos sexos,Industria,Zona Urbana,De 65 a 69 años,6619
Ambos sexos,Industria,Zona Urbana,De 70 a 74 años,2215
Ambos sexos,Industria,Zona Urbana,De 75 y más años,1817
Ambos sexos,Servicios,Total nacional,Total,4957535
Ambos sexos,Servicios,Total nacional,De 16 a 19 años,269446
Ambos sexos,Servicios,Total nacional,De 20 a 24 años,604072
Ambos sexos,Servicios,Total nacional,De 25 a 29 años,729694
Ambos sexos,Servicios,Total nacional,De 30 a 34 años,669379
Ambos sexos,Servicios,Total nacional,De 35 a 39 años,563090
Ambos sexos,Servicios,Total nacional,De 40 a 44 años,466736
Ambos sexos,Servicios,Total nacional,De 45 a 49 años,505767
Ambos sexos,Servicios,Total nacional,De 50 a 54 años,453559
Ambos sexos,Servicios,Total nacional,De 55 a 59 años,380157
Ambos sexos,Servicios,Total nacional,De 60 a 64 años,226731
Ambos sexos,Servicios,Total nacional,De 65 a 69 años,61479
Ambos sexos,Servicios,Total nacional,De 70 a 74 años,15376
Ambos sexos,Servicios,Total nacional,De 75 y más años,12051
Ambos sexos,Servicios,Zona Rural,Total,562244
Ambos sexos,Servicios,Zona Rural,De 16 a 19 años,45556
Ambos sexos,Servicios,Zona Rural,De 20 a 24 años,83370
Ambos sexos,Servicios,Zona Rural,De 25 a 29 años,86403
Ambos sexos,Servicios,Zona Rural,De 30 a 34 años,68917
Ambos sexos,Servicios,Zona Rural,De 35 a 39 años,57949
Ambos sexos,Servicios,Zona Rural,De 40 a 44 años,48212
Ambos sexos,Servicios,Zona Rural,De 45 a 49 años,54100
Ambos sexos,Servicios,Zona Rural,De 50 a 54 años,46675
Ambos sexos,Servicios,Zona Rural,De 55 a 59 años,37538
Ambos sexos,Servicios,Zona Rural,De 60 a 64 años,23072
Ambos sexos,Servicios,Zona Rural,De 65 a 69 años,6597
Ambos sexos,Servicios,Zona Rural,De 70 a 74 años,2060
Ambos sexos,Servicios,Zona Rural,De 75 y más años,1795
Ambos sexos,Servicios,Zona Intermedia,Total,641068
Ambos sexos,Servicios,Zona Intermedia,De 16 a 19 años,46279
Ambos sexos,Servicios,Zona Intermedia,De 20 a 24 años,81823
Ambos sexos,Servicios,Zona Intermedia,De 25 a 29 años,93903
Ambos sexos,Servicios,Zona Intermedia,De 30 a 34 años,84244
Ambos sexos,Servicios,Zona Intermedia,De 35 a 39 años,71058
Ambos sexos,Servicios,Zona Intermedia,De 40 a 44 años,60393
Ambos sexos,Servicios,Zona Intermedia,De 45 a 49 años,65191
Ambos sexos,Servicios,Zona Intermedia,De 50 a 54 años,55489
Ambos sexos,Servicios,Zona Intermedia,De 55 a 59 años,45339
Ambos sexos,Servicios,Zona Intermedia,De 60 a 64 años,26617
Ambos sexos,Servicios,Zona Intermedia,De 65 a 69 años,7023
Ambos sexos,Servicios,Zona Intermedia,De 70 a 74 años,2012
