ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 70 a 74 años,1248
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 75 y más años,883
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,Total,208617
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 16 a 19 años,10108
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 20 a 24 años,13655
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 25 a 29 años,15194
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 30 a 34 años,16223
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 35 a 39 años,18239
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 40 a 44 años,22615
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 45 a 49 años,30402
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 50 a 54 años,31662
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 55 a 59 años,29197
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 60 a 64 años,16797
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 65 a 69 años,2744
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 70 a 74 años,956
"Agricultura, ganadería, silvicultura y caza",Zona Urbana,De 75 y más años,724
Pesca,Total nacional (Ambos sexos),Total,80494
Pesca,Total nacional (Ambos sexos),De 16 a 19 años,5790
Pesca,Total nacional (Ambos sexos),De 20 a 24 años,9020
Pesca,Total nacional (Ambos sexos),De 25 a 29 años,9835
Pesca,Total nacional (Ambos sexos),De 30 a 34 años,9060
Pesca,Total nacional (Ambos sexos),De 35 a 39 años,9074
Pesca,Total nacional (Ambos sexos),De 40 a 44 años,8773
Pesca,Total nacional (Ambos sexos),De 45 a 49 años,11162
Pesca,Total nacional (Ambos sexos),De 50 a 54 años,9361
Pesca,Total nacional (Ambos sexos),De 55 a 59 años,6130
Pesca,Total nacional (Ambos sexos),De 60 a 64 años,1965
Pesca,Total nacional (Ambos sexos),De 65 a 69 años,196
Pesca,Total nacional (Ambos sexos),De 70 a 74 años,57
Pesca,Total nacional (Ambos sexos),De 75 y más años,73
Pesca,Total nacional (Varones),Total,78759
Pesca,Total nacional (Varones),De 16 a 19 años,5652
Pesca,Total nacional (Varones),De 20 a 24 años,8755
Pesca,Total nacional (Varones),De 25 a 29 años,9621
Pesca,Total nacional (Varones),De 30 a 34 años,8849
Pesca,Total nacional (Varones),De 35 a 39 años,8917
Pesca,Total nacional (Varones),De 40 a 44 años,8596
Pesca,Total nacional (Varones),De 45 a 49 años,10942
Pesca,Total nacional (Varones),De 50 a 54 años,9205
Pesca,Total nacional (Varones),De 55 a 59 años,6027
Pesca,Total nacional (Varones),De 60 a 64 años,1928
Pesca,Total nacional (Varones),De 65 a 69 años,168
Pesca,Total nacional (Varones),De 70 a 74 años,51
Pesca,Total nacional (Varones),De 75 y más años,48
Pesca,Total nacional (Mujeres),Total,1735
Pesca,Total nacional (Mujeres),De 16 a 19 años,138
Pesca,Total nacional (Mujeres),De 20 a 24 años,265
Pesca,Total nacional (Mujeres),De 25 a 29 años,214
Pesca,Total nacional (Mujeres),De 30 a 34 años,211
Pesca,Total nacional (Mujeres),De 35 a 39 años,157
Pesca,Total nacional (Mujeres),De 40 a 44 años,177
Pesca,Total nacional (Mujeres),De 45 a 49 años,220
Pesca,Total nacional (Mujeres),De 50 a 54 años,156
Pesca,Total nacional (Mujeres),De 55 a 59 años,103
Pesca,Total nacional (Mujeres),De 60 a 64 años,37
Pesca,Total nacional (Mujeres),De 65 a 69 años,28
Pesca,Total nacional (Mujeres),De 70 a 74 años,5
Pesca,Total nacional (Mujeres),De 75 y más años,25
Pesca,Zona Rural,Total,26638
Pesca,Zona Rural,De 16 a 19 años,1878
Pesca,Zona Rural,De 20 a 24 años,3147
Pesca,Zona Rural,De 25 a 29 años,3445
Pesca,Zona Rural,De 30 a 34 años,3275
Pesca,Zona Rural,De 35 a 39 años,2892
Pesca,Zona Rural,De 40 a 44 años,2924
Pesca,Zona Rural,De 45 a 49 años,3538
Pesca,Zona Rural,De 50 a 54 años,2941
Pesca,Zona Rural,De 55 a 59 años,1760
Pesca,Zona Rural,De 60 a 64 años,735
Pesca,Zona Rural,De 65 a 69 años,51
Pesca,Zona Rural,De 70 a 74 años,28
Pesca,Zona Rural,De 75 y más años,25
Pesca,Zona Intermedia,Total,19905
Pesca,Zona Intermedia,De 16 a 19 años,1727
Pesca,Zona Intermedia,De 20 a 24 años,2252
Pesca,Zona Intermedia,De 25 a 29 años,2422
Pesca,Zona Intermedia,De 30 a 34 años,2058
Pesca,Zona Intermedia,De 35 a 39 años,2139
Pesca,Zona Intermedia,De 40 a 44 años,1951
Pesca,Zona Intermedia,De 45 a 49 años,2952
Pesca,Zona Intermedia,De 50 a 54 años,2275
Pesca,Zona Intermedia,De 55 a 59 años,1523
Pesca,Zona Intermedia,De 60 a 64 años,508
Pesca,Zona Intermedia,De 65 a 69 años,63
Pesca,Zona Intermedia,De 70 a 74 años,11
Pesca,Zona Intermedia,De 75 y más años,25
Pesca,Zona Urbana,Total,33962
Pesca,Zona Urbana,De 16 a 19 años,2185
Pesca,Zona Urbana,De 20 a 24 años,3621
Pesca,Zona Urbana,De 25 a 29 años,3968
Pesca,Zona Urbana,De 30 a 34 años,3727
Pesca,Zona Urbana,De 35 a 39 años,4042
Pesca,Zona Urbana,De 40 a 44 años,3898
Pesca,Zona Urbana,De 45 a 49 años,4671
Pesca,Zona Urbana,De 50 a 54 años,4146
Pesca,Zona Urbana,De 55 a 59 años,2848
Pesca,Zona Urbana,De 60 a 64 años,722
Pesca,Zona Urbana,De 65 a 69 años,82
Pesca,Zona Urbana,De 70 a 74 años,18
Pesca,Zona Urbana,De 75 y más años,23
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),Total,58631
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 16 a 19 años,1381
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 20 a 24 años,5713
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 25 a 29 años,8499
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 30 a 34 años,7913
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 35 a 39 años,6953
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 40 a 44 años,6632
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 45 a 49 años,8776
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 50 a 54 años,7275
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 55 a 59 años,3793
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 60 a 64 años,1450
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 65 a 69 años,138
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 70 a 74 años,54
Extracción y preparación de combustibles sólidos,Total nacional (Ambos sexos),De 75 y más años,54
Extracción y preparación de combustibles sólidos,Total nacional (Varones),Total,56899
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 16 a 19 años,1319
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 20 a 24 años,5427
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 25 a 29 años,8273
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 30 a 34 años,7704
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 35 a 39 años,6841
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 40 a 44 años,6507
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 45 a 49 años,8631
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 50 a 54 años,7043
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 55 a 59 años,3615
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 60 a 64 años,1354
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 65 a 69 años,115
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 70 a 74 años,37
Extracción y preparación de combustibles sólidos,Total nacional (Varones),De 75 y más años,31
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),Total,1732
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 16 a 19 años,62
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 20 a 24 años,286
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 25 a 29 años,226
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 30 a 34 años,209
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 35 a 39 años,112
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 40 a 44 años,124
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 45 a 49 años,145
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 50 a 54 años,232
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 55 a 59 años,178
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 60 a 64 años,96
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 65 a 69 años,23
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 70 a 74 años,16
Extracción y preparación de combustibles sólidos,Total nacional (Mujeres),De 75 y más años,22
Extracción y preparación de combustibles sólidos,Zona Rural,Total,26199
Extracción y preparación de combustibles sólidos,Zona Rural,De 16 a 19 años,757
Extracción y preparación de combustibles sólidos,Zona Rural,De 20 a 24 años,2946
Extracción y preparación de combustibles sólidos,Zona Rural,De 25 a 29 años,3935
Extracción y preparación de combustibles sólidos,Zona Rural,De 30 a 34 años,3492
Extracción y preparación de combustibles sólidos,Zona Rural,De 35 a 39 años,2865
Extracción y preparación de combustibles sólidos,Zona Rural,De 40 a 44 años,2845
Extracción y preparación de combustibles sólidos,Zona Rural,De 45 a 49 años,4035
Extracción y preparación de combustibles sólidos,Zona Rural,De 50 a 54 años,3189
Extracción y preparación de combustibles sólidos,Zona Rural,De 55 a 59 años,1588
Extracción y preparación de combustibles sólidos,Zona Rural,De 60 a 64 años,481
Extracción y preparación de combustibles sólidos,Zona Rural,De 65 a 69 años,36
Extracción y preparación de combustibles sólidos,Zona Rural,De 70 a 74 años,24
Extracción y preparación de combustibles sólidos,Zona Rural,De 75 y más años,18
Extracción y preparación de combustibles sólidos,Zona Intermedia,Total,18266
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 16 a 19 años,469
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 20 a 24 años,2034
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 25 a 29 años,2853
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 30 a 34 años,2518
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 35 a 39 años,2223
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 40 a 44 años,2068
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 45 a 49 años,2519
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 50 a 54 años,2103
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 55 a 59 años,1036
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 60 a 64 años,374
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 65 a 69 años,38
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 70 a 74 años,9
Extracción y preparación de combustibles sólidos,Zona Intermedia,De 75 y más años,21
Extracción y preparación de combustibles sólidos,Zona Urbana,Total,14166
Extracción y preparación de combustibles sólidos,Zona Urbana,De 16 a 19 años,155
Extracción y preparación de combustibles sólidos,Zona Urbana,De 20 a 24 años,733
Extracción y preparación de combustibles sólidos,Zona Urbana,De 25 a 29 años,1711
Extracción y preparación de combustibles sólidos,Zona Urbana,De 30 a 34 años,1904
Extracción y preparación de combustibles sólidos,Zona Urbana,De 35 a 39 años,1875
Extracción y preparación de combustibles sólidos,Zona Urbana,De 40 a 44 años,1719
Extracción y preparación de combustibles sólidos,Zona Urbana,De 45 a 49 años,2222
Extracción y preparación de combustibles sólidos,Zona Urbana,De 50 a 54 años,1984
Extracción y preparación de combustibles sólidos,Zona Urbana,De 55 a 59 años,1169
Extracción y preparación de combustibles sólidos,Zona Urbana,De 60 a 64 años,596
Extracción y preparación de combustibles sólidos,Zona Urbana,De 65 a 69 años,65
Extracción y preparación de combustibles sólidos,Zona Urbana,De 70 a 74 años,20
Extracción y preparación de combustibles sólidos,Zona Urbana,De 75 y más años,14
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),Total,23971
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 16 a 19 años,407
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 20 a 24 años,1617
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 25 a 29 años,2781
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 30 a 34 años,3548
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 35 a 39 años,3451
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 40 a 44 años,2833
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 45 a 49 años,3309
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 50 a 54 años,2763
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 55 a 59 años,2182
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 60 a 64 años,775
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 65 a 69 años,192
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 70 a 74 años,27
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Ambos sexos),De 75 y más años,86
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),Total,21034
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 16 a 19 años,265
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 20 a 24 años,1110
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 25 a 29 años,2234
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 30 a 34 años,3193
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 35 a 39 años,3159
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 40 a 44 años,2642
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 45 a 49 años,2998
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 50 a 54 años,2647
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 55 a 59 años,1996
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 60 a 64 años,698
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 65 a 69 años,139
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 70 a 74 años,12
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Varones),De 75 y más años,40
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),Total,2937
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 16 a 19 años,142
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 20 a 24 años,508
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 25 a 29 años,547
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 30 a 34 años,354
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 35 a 39 años,292
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 40 a 44 años,191
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 45 a 49 años,311
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 50 a 54 años,216
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 55 a 59 años,186
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 60 a 64 años,78
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 65 a 69 años,53
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 70 a 74 años,15
Extracción de petróleo y gas natural. Refino de petróleo,Total nacional (Mujeres),De 75 y más años,45
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,Total,2611
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 16 a 19 años,68
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 20 a 24 años,275
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 25 a 29 años,391
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 30 a 34 años,323
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 35 a 39 años,396
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 40 a 44 años,256
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 45 a 49 años,295
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 50 a 54 años,229
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 55 a 59 años,217
