ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 40 a 44 años,856
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 45 a 49 años,937
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 50 a 54 años,817
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 55 a 59 años,739
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 60 a 64 años,452
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 65 a 69 años,96
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 70 a 74 años,25
Alquiler de bienes muebles e inmuebles,Total nacional (Varones),De 75 y más años,24
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),Total,3444
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 16 a 19 años,241
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 20 a 24 años,692
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 25 a 29 años,508
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 30 a 34 años,369
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 35 a 39 años,298
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 40 a 44 años,313
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 45 a 49 años,278
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 50 a 54 años,240
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 55 a 59 años,240
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 60 a 64 años,196
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 65 a 69 años,38
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 70 a 74 años,16
Alquiler de bienes muebles e inmuebles,Total nacional (Mujeres),De 75 y más años,14
Alquiler de bienes muebles e inmuebles,Zona Rural,Total,1004
Alquiler de bienes muebles e inmuebles,Zona Rural,De 16 a 19 años,53
Alquiler de bienes muebles e inmuebles,Zona Rural,De 20 a 24 años,190
Alquiler de bienes muebles e inmuebles,Zona Rural,De 25 a 29 años,129
Alquiler de bienes muebles e inmuebles,Zona Rural,De 30 a 34 años,130
Alquiler de bienes muebles e inmuebles,Zona Rural,De 35 a 39 años,105
Alquiler de bienes muebles e inmuebles,Zona Rural,De 40 a 44 años,120
Alquiler de bienes muebles e inmuebles,Zona Rural,De 45 a 49 años,89
Alquiler de bienes muebles e inmuebles,Zona Rural,De 50 a 54 años,82
Alquiler de bienes muebles e inmuebles,Zona Rural,De 55 a 59 años,64
Alquiler de bienes muebles e inmuebles,Zona Rural,De 60 a 64 años,31
Alquiler de bienes muebles e inmuebles,Zona Rural,De 65 a 69 años,10
Alquiler de bienes muebles e inmuebles,Zona Rural,De 70 a 74 años,
Alquiler de bienes muebles e inmuebles,Zona Rural,De 75 y más años,1
Alquiler de bienes muebles e inmuebles,Zona Intermedia,Total,1079
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 16 a 19 años,42
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 20 a 24 años,157
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 25 a 29 años,175
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 30 a 34 años,150
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 35 a 39 años,136
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 40 a 44 años,122
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 45 a 49 años,111
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 50 a 54 años,83
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 55 a 59 años,71
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 60 a 64 años,23
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 65 a 69 años,4
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 70 a 74 años,
Alquiler de bienes muebles e inmuebles,Zona Intermedia,De 75 y más años,5
Alquiler de bienes muebles e inmuebles,Zona Urbana,Total,9275
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 16 a 19 años,367
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 20 a 24 años,976
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 25 a 29 años,1192
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 30 a 34 años,1210
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 35 a 39 años,1066
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 40 a 44 años,927
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 45 a 49 años,1014
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 50 a 54 años,892
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 55 a 59 años,844
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 60 a 64 años,594
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 65 a 69 años,120
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 70 a 74 años,41
Alquiler de bienes muebles e inmuebles,Zona Urbana,De 75 y más años,32
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),Total,588877
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 16 a 19 años,7032
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 20 a 24 años,49185
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 25 a 29 años,84086
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 30 a 34 años,79423
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 35 a 39 años,70895
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 40 a 44 años,59516
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 45 a 49 años,65961
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 50 a 54 años,62326
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 55 a 59 años,57159
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 60 a 64 años,39568
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 65 a 69 años,11919
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 70 a 74 años,843
"Admón. pública, defensa nacional, seguridad social",Total nacional (Ambos sexos),De 75 y más años,964
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),Total,458989
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 16 a 19 años,4585
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 20 a 24 años,30987
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 25 a 29 años,56562
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 30 a 34 años,58706
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 35 a 39 años,57391
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 40 a 44 años,50403
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 45 a 49 años,55932
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 50 a 54 años,52161
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 55 a 59 años,48066
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 60 a 64 años,33390
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 65 a 69 años,9727
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 70 a 74 años,551
"Admón. pública, defensa nacional, seguridad social",Total nacional (Varones),De 75 y más años,526
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),Total,129888
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 16 a 19 años,2447
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 20 a 24 años,18197
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 25 a 29 años,27523
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 30 a 34 años,20718
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 35 a 39 años,13504
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 40 a 44 años,9113
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 45 a 49 años,10030
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 50 a 54 años,10164
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 55 a 59 años,9092
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 60 a 64 años,6178
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 65 a 69 años,2192
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 70 a 74 años,292
"Admón. pública, defensa nacional, seguridad social",Total nacional (Mujeres),De 75 y más años,438
"Admón. pública, defensa nacional, seguridad social",Zona Rural,Total,56638
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 16 a 19 años,1434
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 20 a 24 años,6956
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 25 a 29 años,8231
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 30 a 34 años,7061
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 35 a 39 años,6600
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 40 a 44 años,5232
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 45 a 49 años,6293
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 50 a 54 años,5683
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 55 a 59 años,5244
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 60 a 64 años,3700
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 65 a 69 años,946
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 70 a 74 años,118
"Admón. pública, defensa nacional, seguridad social",Zona Rural,De 75 y más años,140
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,Total,63244
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 16 a 19 años,1107
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 20 a 24 años,6539
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 25 a 29 años,8899
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 30 a 34 años,8130
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 35 a 39 años,7173
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 40 a 44 años,6588
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 45 a 49 años,7694
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 50 a 54 años,6750
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 55 a 59 años,6160
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 60 a 64 años,4102
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 65 a 69 años,883
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 70 a 74 años,77
"Admón. pública, defensa nacional, seguridad social",Zona Intermedia,De 75 y más años,143
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,Total,468995
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 16 a 19 años,4491
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 20 a 24 años,37689
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 25 a 29 años,66956
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 30 a 34 años,64232
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 35 a 39 años,57121
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 40 a 44 años,47697
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 45 a 49 años,51975
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 50 a 54 años,49893
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 55 a 59 años,45755
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 60 a 64 años,31767
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 65 a 69 años,10090
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 70 a 74 años,648
"Admón. pública, defensa nacional, seguridad social",Zona Urbana,De 75 y más años,681
Servicios de saneamiento y similares,Total nacional (Ambos sexos),Total,58866
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 16 a 19 años,1886
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 20 a 24 años,5613
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 25 a 29 años,5524
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 30 a 34 años,5031
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 35 a 39 años,5595
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 40 a 44 años,6884
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 45 a 49 años,8911
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 50 a 54 años,8282
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 55 a 59 años,6897
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 60 a 64 años,3783
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 65 a 69 años,339
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 70 a 74 años,71
Servicios de saneamiento y similares,Total nacional (Ambos sexos),De 75 y más años,49
Servicios de saneamiento y similares,Total nacional (Varones),Total,31858
Servicios de saneamiento y similares,Total nacional (Varones),De 16 a 19 años,737
Servicios de saneamiento y similares,Total nacional (Varones),De 20 a 24 años,2079
Servicios de saneamiento y similares,Total nacional (Varones),De 25 a 29 años,3213
Servicios de saneamiento y similares,Total nacional (Varones),De 30 a 34 años,3080
Servicios de saneamiento y similares,Total nacional (Varones),De 35 a 39 años,3238
Servicios de saneamiento y similares,Total nacional (Varones),De 40 a 44 años,3496
Servicios de saneamiento y similares,Total nacional (Varones),De 45 a 49 años,4750
Servicios de saneamiento y similares,Total nacional (Varones),De 50 a 54 años,4614
Servicios de saneamiento y similares,Total nacional (Varones),De 55 a 59 años,4108
Servicios de saneamiento y similares,Total nacional (Varones),De 60 a 64 años,2340
Servicios de saneamiento y similares,Total nacional (Varones),De 65 a 69 años,160
Servicios de saneamiento y similares,Total nacional (Varones),De 70 a 74 años,25
Servicios de saneamiento y similares,Total nacional (Varones),De 75 y más años,20
Servicios de saneamiento y similares,Total nacional (Mujeres),Total,27008
Servicios de saneamiento y similares,Total nacional (Mujeres),De 16 a 19 años,1150
Servicios de saneamiento y similares,Total nacional (Mujeres),De 20 a 24 años,3534
Servicios de saneamiento y similares,Total nacional (Mujeres),De 25 a 29 años,2311
Servicios de saneamiento y similares,Total nacional (Mujeres),De 30 a 34 años,1951
Servicios de saneamiento y similares,Total nacional (Mujeres),De 35 a 39 años,2358
Servicios de saneamiento y similares,Total nacional (Mujeres),De 40 a 44 años,3388
Servicios de saneamiento y similares,Total nacional (Mujeres),De 45 a 49 años,4161
Servicios de saneamiento y similares,Total nacional (Mujeres),De 50 a 54 años,3668
Servicios de saneamiento y similares,Total nacional (Mujeres),De 55 a 59 años,2791
Servicios de saneamiento y similares,Total nacional (Mujeres),De 60 a 64 años,1442
Servicios de saneamiento y similares,Total nacional (Mujeres),De 65 a 69 años,179
Servicios de saneamiento y similares,Total nacional (Mujeres),De 70 a 74 años,46
Servicios de saneamiento y similares,Total nacional (Mujeres),De 75 y más años,29
Servicios de saneamiento y similares,Zona Rural,Total,3885
Servicios de saneamiento y similares,Zona Rural,De 16 a 19 años,204
Servicios de saneamiento y similares,Zona Rural,De 20 a 24 años,387
Servicios de saneamiento y similares,Zona Rural,De 25 a 29 años,429
Servicios de saneamiento y similares,Zona Rural,De 30 a 34 años,386
Servicios de saneamiento y similares,Zona Rural,De 35 a 39 años,410
Servicios de saneamiento y similares,Zona Rural,De 40 a 44 años,460
Servicios de saneamiento y similares,Zona Rural,De 45 a 49 años,570
Servicios de saneamiento y similares,Zona Rural,De 50 a 54 años,495
Servicios de saneamiento y similares,Zona Rural,De 55 a 59 años,328
Servicios de saneamiento y similares,Zona Rural,De 60 a 64 años,183
Servicios de saneamiento y similares,Zona Rural,De 65 a 69 años,20
Servicios de saneamiento y similares,Zona Rural,De 70 a 74 años,12
Servicios de saneamiento y similares,Zona Rural,De 75 y más años,
Servicios de saneamiento y similares,Zona Intermedia,Total,5154
Servicios de saneamiento y similares,Zona Intermedia,De 16 a 19 años,200
Servicios de saneamiento y similares,Zona Intermedia,De 20 a 24 años,474
Servicios de saneamiento y similares,Zona Intermedia,De 25 a 29 años,540
Servicios de saneamiento y similares,Zona Intermedia,De 30 a 34 años,454
Servicios de saneamiento y similares,Zona Intermedia,De 35 a 39 años,451
Servicios de saneamiento y similares,Zona Intermedia,De 40 a 44 años,648
Servicios de saneamiento y similares,Zona Intermedia,De 45 a 49 años,880
Servicios de saneamiento y similares,Zona Intermedia,De 50 a 54 años,706
Servicios de saneamiento y similares,Zona Intermedia,De 55 a 59 años,524
Servicios de saneamiento y similares,Zona Intermedia,De 60 a 64 años,246
Servicios de saneamiento y similares,Zona Intermedia,De 65 a 69 años,29
Servicios de saneamiento y similares,Zona Intermedia,De 70 a 74 años,
Servicios de saneamiento y similares,Zona Intermedia,De 75 y más años,
Servicios de saneamiento y similares,Zona Urbana,Total,49826
Servicios de saneamiento y similares,Zona Urbana,De 16 a 19 años,1482
Servicios de saneamiento y similares,Zona Urbana,De 20 a 24 años,4751
Servicios de saneamiento y similares,Zona Urbana,De 25 a 29 años,4555
Servicios de saneamiento y similares,Zona Urbana,De 30 a 34 años,4191
Servicios de saneamiento y similares,Zona Urbana,De 35 a 39 años,4734
Servicios de saneamiento y similares,Zona Urbana,De 40 a 44 años,5776
Servicios de saneamiento y similares,Zona Urbana,De 45 a 49 años,7462
Servicios de saneamiento y similares,Zona Urbana,De 50 a 54 años,7080
Servicios de saneamiento y similares,Zona Urbana,De 55 a 59 años,6044
Servicios de saneamiento y similares,Zona Urbana,De 60 a 64 años,3354
Servicios de saneamiento y similares,Zona Urbana,De 65 a 69 años,289
Servicios de saneamiento y similares,Zona Urbana,De 70 a 74 años,59
Servicios de saneamiento y similares,Zona Urbana,De 75 y más años,48
Educación e investigación,Total nacional (Ambos sexos),Total,460691
Educación e investigación,Total nacional (Ambos sexos),De 16 a 19 años,3840
Educación e investigación,Total nacional (Ambos sexos),De 20 a 24 años,41261
Educación e investigación,Total nacional (Ambos sexos),De 25 a 29 años,92492
Educación e investigación,Total nacional (Ambos sexos),De 30 a 34 años,88074
Educación e investigación,Total nacional (Ambos sexos),De 35 a 39 años,64617
Educación e investigación,Total nacional (Ambos sexos),De 40 a 44 años,42641
Educación e investigación,Total nacional (Ambos sexos),De 45 a 49 años,37011
Educación e investigación,Total nacional (Ambos sexos),De 50 a 54 años,29568
Educación e investigación,Total nacional (Ambos sexos),De 55 a 59 años,22756
Educación e investigación,Total nacional (Ambos sexos),De 60 a 64 años,16691
Educación e investigación,Total nacional (Ambos sexos),De 65 a 69 años,9834
Educación e investigación,Total nacional (Ambos sexos),De 70 a 74 años,1140
Educación e investigación,Total nacional (Ambos sexos),De 75 y más años,765
Educación e investigación,Total nacional (Varones),Total,189670
Educación e investigación,Total nacional (Varones),De 16 a 19 años,956
Educación e investigación,Total nacional (Varones),De 20 a 24 años,11388
Educación e investigación,Total nacional (Varones),De 25 a 29 años,38972
Educación e investigación,Total nacional (Varones),De 30 a 34 años,38746
Educación e investigación,Total nacional (Varones),De 35 a 39 años,28806
Educación e investigación,Total nacional (Varones),De 40 a 44 años,19200
Educación e investigación,Total nacional (Varones),De 45 a 49 años,15575
Educación e investigación,Total nacional (Varones),De 50 a 54 años,12396
Educación e investigación,Total nacional (Varones),De 55 a 59 años,9863
Educación e investigación,Total nacional (Varones),De 60 a 64 años,8110
Educación e investigación,Total nacional (Varones),De 65 a 69 años,4958
Educación e investigación,Total nacional (Varones),De 70 a 74 años,434
Educación e investigación,Total nacional (Varones),De 75 y más años,265
Educación e investigación,Total nacional (Mujeres),Total,261021
Educación e investigación,Total nacional (Mujeres),De 16 a 19 años,2884
Educación e investigación,Total nacional (Mujeres),De 20 a 24 años,29872
Educación e investigación,Total nacional (Mujeres),De 25 a 29 años,53520
Educación e investigación,Total nacional (Mujeres),De 30 a 34 años,49329
Educación e investigación,Total nacional (Mujeres),De 35 a 39 años,35811
Educación e investigación,Total nacional (Mujeres),De 40 a 44 años,23441
Educación e investigación,Total nacional (Mujeres),De 45 a 49 años,21436
Educación e investigación,Total nacional (Mujeres),De 50 a 54 años,17173
Educación e investigación,Total nacional (Mujeres),De 55 a 59 años,12893
Educación e investigación,Total nacional (Mujeres),De 60 a 64 años,8581
Educación e investigación,Total nacional (Mujeres),De 65 a 69 años,4875
Educación e investigación,Total nacional (Mujeres),De 70 a 74 años,706
Educación e investigación,Total nacional (Mujeres),De 75 y más años,500
Educación e investigación,Zona Rural,Total,49270
Educación e investigación,Zona Rural,De 16 a 19 años,575
Educación e investigación,Zona Rural,De 20 a 24 años,6323
Educación e investigación,Zona Rural,De 25 a 29 años,12030
Educación e investigación,Zona Rural,De 30 a 34 años,9378
Educación e investigación,Zona Rural,De 35 a 39 años,6570
Educación e investigación,Zona Rural,De 40 a 44 años,4211
Educación e investigación,Zona Rural,De 45 a 49 años,3688
Educación e investigación,Zona Rural,De 50 a 54 años,2649
Educación e investigación,Zona Rural,De 55 a 59 años,2028
Educación e investigación,Zona Rural,De 60 a 64 años,1541
Educación e investigación,Zona Rural,De 65 a 69 años,1100
Educación e investigación,Zona Rural,De 70 a 74 años,103
Educación e investigación,Zona Rural,De 75 y más años,73
Educación e investigación,Zona Intermedia,Total,59538
Educación e investigación,Zona Intermedia,De 16 a 19 años,602
Educación e investigación,Zona Intermedia,De 20 a 24 años,5812
Educación e investigación,Zona Intermedia,De 25 a 29 años,13867
Educación e investigación,Zona Intermedia,De 30 a 34 años,12294
Educación e investigación,Zona Intermedia,De 35 a 39 años,8295
Educación e investigación,Zona Intermedia,De 40 a 44 años,5502
Educación e investigación,Zona Intermedia,De 45 a 49 años,4239
Educación e investigación,Zona Intermedia,De 50 a 54 años,3151
Educación e investigación,Zona Intermedia,De 55 a 59 años,2439
Educación e investigación,Zona Intermedia,De 60 a 64 años,1890
Educación e investigación,Zona Intermedia,De 65 a 69 años,1193
Educación e investigación,Zona Intermedia,De 70 a 74 años,135
Educación e investigación,Zona Intermedia,De 75 y más años,119
Educación e investigación,Zona Urbana,Total,341883
Educación e investigación,Zona Urbana,De 16 a 19 años,2663
Educación e investigación,Zona Urbana,De 20 a 24 años,30126
Educación e investigación,Zona Urbana,De 25 a 29 años,66595
Educación e investigación,Zona Urbana,De 30 a 34 años,66402
Educación e investigación,Zona Urbana,De 35 a 39 años,49752
Educación e investigación,Zona Urbana,De 40 a 44 años,32927
Educación e investigación,Zona Urbana,De 45 a 49 años,29084
Educación e investigación,Zona Urbana,De 50 a 54 años,23768
Educación e investigación,Zona Urbana,De 55 a 59 años,18289
Educación e investigación,Zona Urbana,De 60 a 64 años,13260
Educación e investigación,Zona Urbana,De 65 a 69 años,7541
Educación e investigación,Zona Urbana,De 70 a 74 años,902
Educación e investigación,Zona Urbana,De 75 y más años,574
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),Total,310567
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 16 a 19 años,4467
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 20 a 24 años,40871
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 25 a 29 años,70953
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 30 a 34 años,48268
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 35 a 39 años,31270
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 40 a 44 años,23809
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 45 a 49 años,26586
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 50 a 54 años,25139
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 55 a 59 años,20372
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 60 a 64 años,12026
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 65 a 69 años,5318
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 70 a 74 años,833
Sanidad y servicios veterinarios,Total nacional (Ambos sexos),De 75 y más años,655
Sanidad y servicios veterinarios,Total nacional (Varones),Total,120732
Sanidad y servicios veterinarios,Total nacional (Varones),De 16 a 19 años,862
Sanidad y servicios veterinarios,Total nacional (Varones),De 20 a 24 años,7016
Sanidad y servicios veterinarios,Total nacional (Varones),De 25 a 29 años,21286
Sanidad y servicios veterinarios,Total nacional (Varones),De 30 a 34 años,18300
Sanidad y servicios veterinarios,Total nacional (Varones),De 35 a 39 años,13991
Sanidad y servicios veterinarios,Total nacional (Varones),De 40 a 44 años,10614
Sanidad y servicios veterinarios,Total nacional (Varones),De 45 a 49 años,12787
Sanidad y servicios veterinarios,Total nacional (Varones),De 50 a 54 años,12936
Sanidad y servicios veterinarios,Total nacional (Varones),De 55 a 59 años,11557
Sanidad y servicios veterinarios,Total nacional (Varones),De 60 a 64 años,7088
Sanidad y servicios veterinarios,Total nacional (Varones),De 65 a 69 años,3533
Sanidad y servicios veterinarios,Total nacional (Varones),De 70 a 74 años,428
Sanidad y servicios veterinarios,Total nacional (Varones),De 75 y más años,333
Sanidad y servicios veterinarios,Total nacional (Mujeres),Total,189835
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 16 a 19 años,3605
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 20 a 24 años,33855
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 25 a 29 años,49667
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 30 a 34 años,29967
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 35 a 39 años,17279
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 40 a 44 años,13195
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 45 a 49 años,13800
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 50 a 54 años,12203
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 55 a 59 años,8815
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 60 a 64 años,4938
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 65 a 69 años,1785
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 70 a 74 años,405
Sanidad y servicios veterinarios,Total nacional (Mujeres),De 75 y más años,321
Sanidad y servicios veterinarios,Zona Rural,Total,25140
Sanidad y servicios veterinarios,Zona Rural,De 16 a 19 años,580
Sanidad y servicios veterinarios,Zona Rural,De 20 a 24 años,4363
Sanidad y servicios veterinarios,Zona Rural,De 25 a 29 años,6767
Sanidad y servicios veterinarios,Zona Rural,De 30 a 34 años,3479
Sanidad y servicios veterinarios,Zona Rural,De 35 a 39 años,1930
Sanidad y servicios veterinarios,Zona Rural,De 40 a 44 años,1366
Sanidad y servicios veterinarios,Zona Rural,De 45 a 49 años,1788
Sanidad y servicios veterinarios,Zona Rural,De 50 a 54 años,1653
Sanidad y servicios veterinarios,Zona Rural,De 55 a 59 años,1600
Sanidad y servicios veterinarios,Zona Rural,De 60 a 64 años,898
Sanidad y servicios veterinarios,Zona Rural,De 65 a 69 años,589
Sanidad y servicios veterinarios,Zona Rural,De 70 a 74 años,70
Sanidad y servicios veterinarios,Zona Rural,De 75 y más años,58
Sanidad y servicios veterinarios,Zona Intermedia,Total,24081
Sanidad y servicios veterinarios,Zona Intermedia,De 16 a 19 años,483
Sanidad y servicios veterinarios,Zona Intermedia,De 20 a 24 años,3626
