sheet_raw,series_code,row_description,quarter_label,year,quarter,value,description,date_start,date_end,frequency,units,series_type,sheet,series_label
cuadro_01,1994GG0001,Total economía,1979:IV,1979,4,13337.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1980:I,1980,1,13340.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1980:II,1980,2,13261.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1980:III,1980,3,13279.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1980:IV,1980,4,13273.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1981:I,1981,1,13300.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1981:II,1981,2,13251.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1981:III,1981,3,13354.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1981:IV,1981,4,13375.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1982:I,1982,1,13423.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
