series_code,series_label,description,sheet,series_type,units,year,annual_mean
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1985,2977.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1986,3000.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1987,3052.75
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1988,3096.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1989,3173.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1990,3265.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1991,3215.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1992,3177.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1964,921.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1965,1015.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1966,1056.0
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1967,1095.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1968,1122.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1969,1141.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1970,1163.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1971,1179.0
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1972,1209.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1973,1233.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1974,1278.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1975,1287.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1976,1293.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1977,1359.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1978,1346.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1979,1314.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1980,1289.0
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1981,1248.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1982,1239.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1983,1225.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1984,1149.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1985,1084.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1986,1109.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1987,1166.75
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1988,1229.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1989,1332.5
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1990,1433.5
